"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\.prettierrc", "JSON", 0, 0, 7, 0, 0, 7
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\app.js", "JavaScript", 23, 0, 0, 5, 6, 34
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\controller\AuthCtrl.js", "JavaScript", 65, 0, 0, 16, 26, 107
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\controller\RenewTokenCtrl.js", "JavaScript", 38, 0, 0, 13, 14, 65
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\controller\UserCtrl.js", "JavaScript", 82, 0, 0, 14, 25, 121
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\model\User.js", "JavaScript", 104, 0, 0, 8, 10, 122
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\package-lock.json", "JSON", 0, 0, 4873, 0, 1, 4874
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\package.json", "JSON", 0, 0, 35, 0, 1, 36
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\routes\AccessTokenRoute.js", "JavaScript", 5, 0, 0, 2, 3, 10
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\routes\UserRoute.js", "JavaScript", 14, 0, 0, 2, 3, 19
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\server.js", "JavaScript", 10, 0, 0, 2, 5, 17
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\utility\AppError.js", "JavaScript", 11, 0, 0, 1, 2, 14
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\utility\catchAsync.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\utility\globalErrorHandler.js", "JavaScript", 52, 0, 0, 9, 11, 72
"c:\Users\rohan\Desktop\SocialMedia-NodeJS\utility\tokenAPI.js", "JavaScript", 20, 0, 0, 1, 7, 28
"Total", "-", 429, 2, 4915, 73, 116, 5535
